series_id,domain,season,block_length,real_MASE,seasonal_naive_MASE,secs,iaaft_median,iaaft_min,iaaft_max,iaaft_gap_%,block_bootstrap_median,block_bootstrap_min,block_bootstrap_max,block_bootstrap_gap_%
entsoe:load:DE_LU#s1,electricity,24,24,0.44122666705694796,0.8508741367813277,30.6,0.6611368548780987,0.2907971524625398,2.0134741963722793,33.26243064481681,0.702528566628447,0.38726712395462753,1.360763311157832,37.19448745344704
open_meteo:temperature_2m:nairobi#s1,weather,24,24,0.9429767667333959,1.3922690571555727,27.7,1.0772661727352584,0.5923907629452556,2.2051010737810364,12.465759103981862,0.6465740651926111,0.30010252516808206,1.183636960467092,-45.84203380512765
wikipedia:pageviews:Association_football#s1,web_traffic,1,8,6.11529286090212,5.581791389538782,28.3,0.5400120920057858,0.2584374926623694,5.7037517053115385,-1032.4362827113507,0.5657526456658029,0.1912934233073236,7.176284440246506,-980.9128172446057
