dataset,dtype,seed,n_series,MASE,WQL,ref_MASE,d_MASE_%,secs
monash_cif_2016,float32,0,72,0.9860395434467092,0.013193237187321953,0.9840747802099564,0.1996558875671597,43.2
monash_cif_2016,float32,1,72,0.9989224806582189,0.014763457081173893,0.9840747802099564,1.508797984345725,39.7
monash_cif_2016,float32,2,72,1.0202248140819217,0.01249294819329994,0.9840747802099564,3.6735047578653006,37.7
monash_cif_2016,float32,3,72,0.9781005670344113,0.010611914117261492,0.9840747802099564,-0.6070893488674222,39.1
monash_cif_2016,float32,4,72,0.9918419146710329,0.012307887190192905,0.9840747802099564,0.7892829505720402,40.7
ercot,float32,0,8,0.5556276960665381,0.016504806954469722,0.5014399265038706,10.80643297403028,21.5
ercot,float32,1,8,0.5006633901278985,0.013835671892997734,0.5014399265038706,-0.15486129742125493,22.8
ercot,float32,2,8,0.497621125683132,0.014756956590447949,0.5014399265038706,-0.7615669632380424,22.2
ercot,float32,3,8,0.4741550648577199,0.014326842243750283,0.5014399265038706,-5.441302178784536,21.6
ercot,float32,4,8,0.5415184037075881,0.015641798798882396,0.5014399265038706,7.99267770381825,21.2
monash_m1_quarterly,float32,0,203,1.7752264802503201,0.10837163881511575,1.746093728928804,1.6684528922389779,70.8
monash_m1_quarterly,float32,1,203,1.7737305017573244,0.11069907612587492,1.746093728928804,1.5827771654317164,70.7
monash_m1_quarterly,float32,2,203,1.7491250053985021,0.10836705136072274,1.746093728928804,0.17360330774211424,70.7
monash_m1_quarterly,float32,3,203,1.7515553086920317,0.1011740477201375,1.746093728928804,0.31278846448742265,71.2
monash_m1_quarterly,float32,4,203,1.7773687267381348,0.11326902284364995,1.746093728928804,1.7911408357509746,68.1
monash_cif_2016,bfloat16,0,72,0.9871027519527288,0.013472546511039298,0.9840747802099564,0.3076973217549922,299.8
monash_cif_2016,bfloat16,1,72,0.9987338099545754,0.014983230216891096,0.9840747802099564,1.4896255893776085,299.7
monash_cif_2016,bfloat16,2,72,1.0216765666338559,0.012571501553360986,0.9840747802099564,3.8210293750112103,301.9
monash_cif_2016,bfloat16,3,72,0.9791613947817193,0.010579463159429339,0.9840747802099564,-0.4992898433174834,303.1
monash_cif_2016,bfloat16,4,72,0.991081841829285,0.012311920417180246,0.9840747802099564,0.7120456453353717,302.6
ercot,bfloat16,0,8,0.5564887335828603,0.0154030059674568,0.5014399265038706,10.978145969109384,198.0
ercot,bfloat16,1,8,0.5218622281069583,0.01478520455335581,0.5014399265038706,4.0727314526937715,198.4
ercot,bfloat16,2,8,0.48698853472188164,0.014903950670040867,0.5014399265038706,-2.8819786814238464,196.1
ercot,bfloat16,3,8,0.46981495713733945,0.014050658658399792,0.5014399265038706,-6.306831126716638,198.1
ercot,bfloat16,4,8,0.512909654799075,0.015255717574511484,0.5014399265038706,2.2873584030640397,196.3
monash_m1_quarterly,bfloat16,0,203,1.7726086930718223,0.1080368983155252,1.746093728928804,1.5185304032495823,558.4
monash_m1_quarterly,bfloat16,1,203,1.774360780691863,0.10999102147097663,1.746093728928804,1.6188736775545434,560.3
monash_m1_quarterly,bfloat16,2,203,1.7490408298553588,0.10649044368658231,1.746093728928804,0.1687825159513455,562.7
monash_m1_quarterly,bfloat16,3,203,1.7504326080904946,0.1012115559925943,1.746093728928804,0.24849062165479133,564.4
monash_m1_quarterly,bfloat16,4,203,1.7750543367778953,0.11183504698067466,1.746093728928804,1.6585941160706161,563.4
