task,context_length,MASE,ref_MASE,d_MASE_%,n_instances,device,secs
ett1/H/short,32,0.9254733973884358,0.9874780774116516,-6.279094335515847,140,cuda,287.7
ett1/H/short,64,0.9515462127786004,0.9874780774116516,-3.63875061684758,140,cuda,567.2
ett1/H/short,128,1.004545093937445,0.9874780774116516,1.7283438403542997,140,cuda,1204.4
ett1/H/short,256,1.0151550500178006,0.9874780774116516,2.802793625423569,140,cuda,2734.3
ett1/H/short,512,0.9729501376381646,0.9874780774116516,-1.4712164356668245,140,cuda,9849.9
